City,State,Latitude,Longitude,Population
Mountlake Terrace,WA,47.7921,-122.3077,21419
Mount Pleasant,MI,43.5966,-84.7759,21420
Secaucus,NJ,40.781,-74.0659,21437
Five Corners,WA,45.6883,-122.5738,21444
Helena,AL,33.2837,-86.8791,21452
North Ogden,UT,41.3123,-111.9584,21473
Tukwila,WA,47.475,-122.2728,21479
Rose Hill,VA,38.7872,-77.1085,21484
Rocky River,OH,41.4702,-81.8525,21490
Pleasant Prairie,WI,42.5266,-87.8895,21515
Florida Ridge,FL,27.5805,-80.3848,21517
Lindenwold,NJ,39.8173,-74.9898,21534
Seymour,IN,38.9476,-85.8911,21536
Ennis,TX,32.3254,-96.6347,21546
Del City,OK,35.4483,-97.4408,21561
Waxhaw,NC,34.9363,-80.7439,21565
Alliance,OH,40.9107,-81.1189,21574
Clemmons,NC,36.0319,-80.3861,21574
Green Valley,AZ,31.8393,-111.0009,21581
South Euclid,OH,41.524,-81.5245,21606
Birmingham,MI,42.5446,-83.2166,21612
Dickinson,TX,29.4548,-95.0589,21612
Valinda,CA,34.04,-117.93,21626
St. John,IN,41.4429,-87.4697,21639
Willowbrook,CA,33.9209,-118.2356,21642
Hurricane,UT,37.1487,-113.3517,21677
Port Hueneme,CA,34.1618,-119.2036,21691
American Canyon,CA,38.1796,-122.2583,21698
Selden,NY,40.8714,-73.0466,21707
Harvey,LA,29.8876,-90.0666,21710
New Castle,PA,40.9956,-80.3458,21727
Yucca Valley,CA,34.1234,-116.4216,21744
Holiday,FL,28.1864,-82.7429,21768
Lakeside,CA,32.856,-116.904,21788
Four Square Mile,CO,39.6808,-104.888,21788
Silver Firs,WA,47.8635,-122.1497,21796
Rio Rico,AZ,31.4957,-110.9885,21798
Suwanee,GA,34.0508,-84.0686,21811
Pascagoula,MS,30.3666,-88.5506,21812
Carbondale,IL,37.7221,-89.2237,21813
Merrick,NY,40.6515,-73.5535,21816
Massapequa,NY,40.6676,-73.4706,21822
Woodlawn,VA,38.7332,-77.1149,21828
Lino Lakes,MN,45.1679,-93.083,21847
Darien,IL,41.7448,-87.9822,21855
Shelby,NC,35.2904,-81.5451,21868
Parsippany,NJ,40.8645,-74.4135,21869
Sedalia,MO,38.7059,-93.234,21869
Klamath Falls,OR,42.2195,-121.7754,21879
West Carson,CA,33.8229,-118.2931,21909
Duarte,CA,34.161,-117.9504,21921
Golden Valley,MN,44.9901,-93.3591,21927
Ozark,MO,37.0365,-93.2158,21953
Chillicothe,OH,39.3393,-82.9939,21958
Lorton,VA,38.6983,-77.2164,21961
Mililani Mauka,HI,21.4756,-157.9948,21967
Winter Gardens,CA,32.8376,-116.9268,22003
Columbia Heights,MN,45.0484,-93.2472,22016
East Ridge,TN,34.9973,-85.2285,22034
Hastings,MN,44.7318,-92.8538,22050
Chambersburg,PA,39.9315,-77.6556,22051
Langley Park,MD,38.9897,-76.9808,22057
Oxford,AL,33.5967,-85.8687,22063
Oxford,OH,39.5061,-84.7446,22069
Sanford,ME,43.4244,-70.7573,22095
Allison Park,PA,40.573,-79.9603,22108
Clarksville,IN,38.322,-85.7673,22121
La Porte,IN,41.6069,-86.7142,22125
Sunny Isles Beach,FL,25.9385,-80.1246,22125
Bayou Cane,LA,29.6243,-90.751,22143
Mountain Brook,AL,33.4871,-86.74,22160
Camp Springs,MD,38.8052,-76.9199,22174
West Puente Valley,CA,34.0513,-117.9681,22198
Payson,UT,40.0355,-111.739,22205
Ruston,LA,32.5328,-92.6363,22224
Middleton,WI,43.1064,-89.5059,22235
Perry,GA,32.472,-83.7283,22243
Rancho San Diego,CA,32.7624,-116.9197,22264
Evans,CO,40.366,-104.739,22265
Sapulpa,OK,36.0091,-96.1003,22268
Montclair,VA,38.6111,-77.34,22295
Marion Oaks,FL,29.0011,-82.1953,22296
Hillsborough,NJ,40.5069,-74.6523,22302
Hayesville,OR,44.9793,-122.9738,22309
Marina,CA,36.681,-121.7892,22324
Cudahy,CA,33.9631,-118.183,22325
Foley,AL,30.3983,-87.665,22330
Yorkville,IL,41.6563,-88.4507,22350
The Crossings,FL,25.6708,-80.4018,22359
Acworth,GA,34.0566,-84.6716,22370
Bloomingdale,IL,41.9497,-88.0895,22388
Junction City,KS,39.0277,-96.8508,22431
Chalmette,LA,29.9438,-89.966,22447
McNair,VA,38.9513,-77.4115,22451
Roselle,NJ,40.6527,-74.2599,22455
Villa Park,IL,41.8865,-87.9779,22456
Biddeford,ME,43.4673,-70.4511,22463
Central Falls,RI,41.8901,-71.3934,22481
East Peoria,IL,40.6736,-89.5419,22485
Summit,NJ,40.7154,-74.3647,22512
Greenwood,SC,34.1947,-82.1542,22527
West Rancho Dominguez,CA,33.9057,-118.2683,22560
Kihei,HI,20.7653,-156.4454,22564
Waynesboro,VA,38.0674,-78.9014,22574
Albertville,AL,34.2633,-86.2108,22584
Millbrae,CA,37.5994,-122.4023,22589
DeBary,FL,28.8815,-81.324,22602
Bear,DE,39.6189,-75.6808,22604
Anthem,AZ,33.856,-112.1168,22622
Corcoran,CA,36.0841,-119.5613,22626
Hialeah Gardens,FL,25.8878,-80.3569,22634
North Plainfield,NJ,40.6209,-74.4386,22667
Avon,IN,39.7601,-86.3916,22683
Crystal,MN,45.0377,-93.3599,22685
Sun Valley,NV,39.6104,-119.777,22697
Vega Baja,PR,18.4406,-66.3997,22730
Roselle,IL,41.9809,-88.0861,22731
Martha Lake,WA,47.8479,-122.2327,22740
Machesney Park,IL,42.3666,-89.0266,22744
Cataño,PR,18.4375,-66.144,22768
Bonney Lake,WA,47.1791,-122.17,22776
Laguna Beach,CA,33.5455,-117.7613,22777
Ashland,CA,37.6942,-122.1159,22784
Christiansburg,VA,37.1406,-80.4036,22820
Ramona,CA,33.0474,-116.8766,22829
Coralville,IA,41.699,-91.5967,22846
Watertown,SD,44.9094,-97.1532,22859
Garden City,NY,40.7266,-73.6447,22866
Corinth,TX,33.1434,-97.0682,22868
Calabasas,CA,34.1375,-118.6689,22869
Duncan,OK,34.5408,-97.9215,22872
Watertown,WI,43.1893,-88.7285,22873
New Brighton,MN,45.0658,-93.206,22900
West Springfield,VA,38.7771,-77.2268,22905
Keene,NH,42.9494,-72.2998,22923
Prairie Village,KS,38.9874,-94.6362,22937
Hopewell,VA,37.2915,-77.2985,22944
Radcliff,KY,37.8204,-85.9365,22967
Hudson,OH,41.2399,-81.4408,23007
North Platte,NE,41.1263,-100.7641,23030
Kapolei,HI,21.3399,-158.0677,23033
Ensley,FL,30.5259,-87.2733,23036
Trotwood,OH,39.7926,-84.3165,23041
Horizon City,TX,31.6799,-106.1903,23069
Hazel Dell,WA,45.6797,-122.6553,23086
Searcy,AR,35.2418,-91.7351,23115
Jasmine Estates,FL,28.293,-82.6907,23151
Oakdale,CA,37.7618,-120.8468,23155
Cottage Lake,WA,47.7466,-122.0755,23170
Maywood,IL,41.8798,-87.8442,23173
Loves Park,IL,42.3364,-88.9975,23185
Athens,OH,39.327,-82.0987,23211
Linda,CA,39.1241,-121.5421,23215
Rock Springs,WY,41.5947,-109.2209,23229
North Salt Lake,UT,40.8439,-111.9187,23239
Cockeysville,MD,39.4804,-76.6294,23265
Union Hill-Novelty Hill,WA,47.6788,-122.0284,23272
Waverly,MI,42.7401,-84.6354,23301
Edgewater,FL,28.9594,-80.9406,23314
Copiague,NY,40.6707,-73.3922,23332
Watauga,TX,32.8719,-97.2515,23336
Maple Heights,OH,41.4094,-81.5625,23350
Fairhope,AL,30.5209,-87.8813,23360
Glassboro,NJ,39.7014,-75.1113,23375
Pottstown,PA,40.2508,-75.6445,23392
Lisle,IL,41.7918,-88.0888,23413
Blue Island,IL,41.6578,-87.6811,23416
Brent,FL,30.4727,-87.2495,23441
Cherry Hill,VA,38.5696,-77.2895,23443
Rosemont,CA,38.5478,-121.3553,23448
Champlin,MN,45.1702,-93.3903,23450
Eastmont,WA,47.8968,-122.1818,23486
Clinton,UT,41.1395,-112.0656,23492
Chester,VA,37.3531,-77.4342,23519
East San Gabriel,CA,34.1157,-118.0791,23521
Van Buren,AR,35.4483,-94.3528,23545
Eustis,FL,28.8563,-81.6771,23567
Muscatine,IA,41.4195,-91.068,23567
Kenmore,WA,47.7516,-122.2489,23594
Jacksonville Beach,FL,30.2782,-81.4045,23601
Ladera Ranch,CA,33.5492,-117.6417,23609
Columbus,MS,33.5088,-88.4096,23616
Cartersville,GA,34.1644,-84.8009,23617
Fernley,NV,39.5627,-119.1906,23631
Freeport,IL,42.2891,-89.6346,23636
Marshall,TX,32.537,-94.3515,23646
Griffin,GA,33.2418,-84.2748,23650
North Lynnwood,WA,47.8533,-122.2762,23653
Farmington,MN,44.6572,-93.1687,23675
Taylors,SC,34.9157,-82.3124,23686
Brookings,SD,44.3022,-96.7859,23710
San Fernando,CA,34.2886,-118.4362,23716
Munster,IN,41.5468,-87.504,23733
Chantilly,VA,38.8868,-77.4453,23744
Highland,IN,41.5483,-87.4588,23749
Fountain Hills,AZ,33.6073,-111.7398,23768
Belton,TX,31.0525,-97.479,23769
Webster Groves,MO,38.5866,-90.3544,23771
Roseburg,OR,43.2231,-123.352,23773
Bayonet Point,FL,28.3254,-82.6834,23787
Burlington,IA,40.8071,-91.1247,23800
Pickerington,OH,39.889,-82.7678,23828
Raymore,MO,38.8029,-94.4583,23849
Somerset,NJ,40.5083,-74.501,23851
Arnold,MD,39.0437,-76.4974,23866
Katy,TX,29.7905,-95.8353,23900
Willoughby,OH,41.6459,-81.4084,23934
Kingston,NY,41.9295,-73.9968,23942
Easley,SC,34.8188,-82.5827,23942
Solon,OH,41.3865,-81.44,23970
Bloomingdale,FL,27.8784,-82.2624,23979
Rolling Meadows,IL,42.0747,-88.0252,23981
Elmwood Park,IL,41.9225,-87.8163,23982
South Elgin,IL,41.9906,-88.3135,23984
North Potomac,MD,39.0955,-77.2373,23994
Brambleton,VA,38.9803,-77.5323,23999
Gardner,KS,38.8122,-94.9275,24020
White Bear Lake,MN,45.0656,-93.015,24026
Coral Terrace,FL,25.7464,-80.3049,24051
Papillion,NE,41.1511,-96.0665,24063
Bay Point,CA,38.0329,-121.9615,24065
Middletown,DE,39.445,-75.7183,24071
Fresno,TX,29.5357,-95.4696,24087
Emporia,KS,38.4028,-96.1932,24098
Wekiwa Springs,FL,28.6984,-81.4251,24109
Shelbyville,TN,35.4987,-86.4517,24125
Collinsville,IL,38.677,-90.0063,24126
Nixa,MO,37.0453,-93.2959,24131
Lexington,SC,33.989,-81.2202,24132
West Memphis,AR,35.153,-90.1996,24147
Liberty Triangle,FL,29.076,-82.2191,24178
Columbus,NE,41.4366,-97.3565,24188
Johnston,IA,41.691,-93.7234,24196
Westmont,IL,41.7948,-87.9742,24201
Frederickson,WA,47.0916,-122.3603,24219
South Plainfield,NJ,40.5748,-74.4152,24231
Palmetto Bay,FL,25.6219,-80.3221,24247
Mandan,ND,46.829,-100.887,24293
Auburn,ME,44.0851,-70.2492,24294
Wadsworth,OH,41.0279,-81.7323,24302
Patterson,CA,37.4758,-121.1536,24306
Greenfield,IN,39.7937,-85.7738,24308
Farragut,TN,35.8731,-84.1821,24309
Bloomington,CA,34.0601,-117.4013,24324
Ponca City,OK,36.7235,-97.0677,24377
Oak Ridge,FL,28.4727,-81.4169,24395
Oak Harbor,WA,48.2964,-122.6333,24396
Clinton,IA,41.8435,-90.2412,24425
Benbrook,TX,32.6788,-97.4637,24430
Riverside,OH,39.7835,-84.1219,24432
Faribault,MN,44.2996,-93.2789,24458
Zion,IL,42.4603,-87.8511,24466
Saginaw,TX,32.8657,-97.3654,24467
Decatur,GA,33.7711,-84.2963,24470
Soledad,CA,36.4432,-121.3426,24476
Fairfax,VA,38.8531,-77.2997,24478
World Golf Village,FL,29.9654,-81.4896,24485
Belvidere,IL,42.2543,-88.8649,24510
Pelham,AL,33.3114,-86.7573,24510
Melrose Park,IL,41.903,-87.8636,24513
Homer Glen,IL,41.6043,-87.9497,24516
Herndon,VA,38.9699,-77.3867,24529
Kerrville,TX,30.0398,-99.132,24532
Ridgeland,MS,32.4236,-90.1481,24548
Landover,MD,38.9241,-76.8875,24558
Greenbelt,MD,38.9953,-76.8885,24572
Watertown,NY,43.9734,-75.9094,24574
Selma,CA,36.5715,-119.6143,24586
Maywood,CA,33.9886,-118.1877,24593
Wyandotte,MI,42.2113,-83.1558,24593
Bainbridge Island,WA,47.6439,-122.5434,24607
Port St. John,FL,28.4757,-80.8104,24617
Belton,MO,38.8192,-94.5335,24618
Socastee,SC,33.6871,-79.0086,24629
Cloverleaf,TX,29.7882,-95.1724,24630
Suitland,MD,38.8492,-76.9225,24667
San Benito,TX,26.1298,-97.644,24677
Paris,TX,33.6688,-95.546,24678
Morton Grove,IL,42.0423,-87.789,24687
Zanesville,OH,39.9565,-82.0132,24726
Sandusky,OH,41.4468,-82.7024,24748
Ardmore,OK,34.1949,-97.1256,24757
Big Spring,TX,32.2389,-101.4799,24769
Fort Dodge,IA,42.5098,-94.1751,24788
Pecan Grove,TX,29.6235,-95.733,24798
Yukon,OK,35.5201,-97.7639,24802
Centerville,OH,39.6339,-84.1449,24815
Westchase,FL,28.0597,-82.611,24818
Seal Beach,CA,33.7542,-118.0714,24868
Riverbank,CA,37.726,-120.9433,24881
Auburn Hills,MI,42.6735,-83.2448,24911
North Augusta,SC,33.5214,-81.9547,24928
Farmington,UT,40.9845,-111.9065,24934
Romulus,MI,42.2237,-83.366,24951
Barberton,OH,41.0095,-81.6037,24977
Norton Shores,MI,43.1621,-86.2519,25000
Hastings,NE,40.5961,-98.39,25005
Loma Linda,CA,34.045,-117.2498,25021
King of Prussia,PA,40.0963,-75.3821,25025
Newport,RI,41.4801,-71.3203,25029
Dix Hills,NY,40.8033,-73.3375,25042
Bellview,FL,30.462,-87.312,25051
Kingsville,TX,27.5094,-97.861,25061
Perrysburg,OH,41.5377,-83.6413,25065
Avon,OH,41.4485,-82.0187,25082
University Park,TX,32.8506,-96.7937,25104
Mountain House,CA,37.7673,-121.5449,25108
Simpsonville,SC,34.7287,-82.2569,25125
Muskego,WI,42.886,-88.1291,25156
Edgewood,MD,39.419,-76.2964,25170
Carteret,NJ,40.5849,-74.2284,25187
Barstow,CA,34.8661,-117.0471,25198
North Laurel,MD,39.1285,-76.8476,25201
Walker,MI,42.9853,-85.7446,25201
Dinuba,CA,36.5453,-119.3987,25201
Norco,CA,33.9252,-117.5498,25211
Hazelwood,MO,38.7931,-90.3899,25214
Dickinson,ND,46.8918,-102.7925,25216
Mequon,WI,43.2352,-87.9839,25259
Holt,MI,42.6416,-84.5308,25275
Lafayette,CA,37.8919,-122.1189,25277
Mercer Island,WA,47.5661,-122.232,25282
Sugar Hill,GA,34.108,-84.0558,25285
Caledonia,WI,42.7986,-87.8762,25292
Corsicana,TX,32.0824,-96.4665,25344
Denison,TX,33.7672,-96.5808,25347
Ottumwa,IA,41.0195,-92.4186,25352
Brandon,MS,32.2778,-89.9896,25352
De Pere,WI,44.4308,-88.0785,25368
Northdale,FL,28.1058,-82.5263,25420
West Chicago,IL,41.896,-88.2253,25434
Reedley,CA,36.5988,-119.4471,25446
Avon Lake,OH,41.4944,-82.0159,25456
Bailey's Crossroads,VA,38.8477,-77.1305,25458
West Whittier-Los Nietos,CA,33.9759,-118.0689,25459
Mill Creek East,WA,47.8361,-122.1877,25461
Salem,VA,37.2864,-80.0555,25477
Peekskill,NY,41.2884,-73.9227,25484
Stevens Point,WI,44.5241,-89.5507,25497
Okemos,MI,42.7057,-84.4135,25503
Tarpon Springs,FL,28.1493,-82.7623,25522
Xenia,OH,39.6829,-83.9413,25555
Happy Valley,OR,45.4358,-122.5081,25572
Cliffside Park,NJ,40.8222,-73.9879,25580
Nocatee,FL,30.0927,-81.4095,25581
South Bradenton,FL,27.4612,-82.5822,25585
Moses Lake,WA,47.1279,-119.2759,25594
Inkster,MI,42.2935,-83.3148,25602
Starkville,MS,33.4608,-88.8297,25611
Newberg,OR,45.3075,-122.9601,25622
Immokalee,FL,26.4253,-81.4251,25624
Pace,FL,30.6188,-87.1667,25630
Bessemer,AL,33.3712,-86.9728,25655
Galt,CA,38.2698,-121.3004,25665
Columbine,CO,39.5879,-105.0694,25681
Medford,NY,40.822,-72.9859,25681
Palm City,FL,27.1735,-80.2862,25699
Allendale,MI,42.9845,-85.9499,25741
Sebastian,FL,27.7822,-80.4819,25759
Staunton,VA,38.1593,-79.0611,25765
Rockville Centre,NY,40.6643,-73.6383,25770
El Cerrito,CA,37.9196,-122.3025,25781
Fort Hood,TX,31.1357,-97.7834,25786
Derby,KS,37.5571,-97.2551,25801
Grandview,MO,38.8802,-94.5227,25821
Key West,FL,24.5642,-81.7775,25824
Fort Washington,MD,38.7339,-77.0069,25843
Terrytown,LA,29.9014,-90.0279,25844
Ballenger Creek,MD,39.3807,-77.4206,25866
Moscow,ID,46.7308,-116.9986,25868
Imperial Beach,CA,32.5693,-117.118,25897
Colleyville,TX,32.8913,-97.1486,25906
Fish Hawk,FL,27.8511,-82.2164,25945
Lodi,NJ,40.8784,-74.0814,25946
Kuna,ID,43.488,-116.3933,25960
Florence,AZ,33.059,-111.4209,25961
Norfolk,NE,42.0324,-97.4217,25962
Winona,MN,44.0505,-91.6684,25998
Franklin,IN,39.4948,-86.0544,25999
Chanhassen,MN,44.8546,-93.5621,26001
Cave Spring,VA,37.2254,-80.0072,26014
North Tustin,CA,33.7636,-117.7947,26038
Medina,OH,41.1358,-81.8695,26040
Ridgewood,NJ,40.9821,-74.1127,26076
Conway,SC,33.8401,-79.0431,26082
Oxford,MS,34.3627,-89.5336,26086
Ives Estates,FL,25.9632,-80.183,26154
East Chicago,IN,41.6469,-87.4545,26158
Austin,MN,43.6721,-92.9784,26167
Windsor,CA,38.5422,-122.8089,26179
Trussville,AL,33.6405,-86.5815,26182
Wilsonville,OR,45.3109,-122.7702,26183
Elkridge,MD,39.1941,-76.7428,26183
Fairland,MD,39.0803,-76.9527,26183
Wasco,CA,35.5938,-119.3671,26222
Lockport,IL,41.5906,-88.0293,26228
Hercules,CA,38.0064,-122.2564,26245
Plainview,NY,40.7832,-73.4732,26251
Holbrook,NY,40.7944,-73.07,26256
South Salt Lake,UT,40.7057,-111.8986,26277
South Pasadena,CA,34.1103,-118.1573,26297
Eureka,CA,40.7943,-124.1564,26302
Leland,NC,34.2042,-78.0279,26307
Woodstock,IL,42.3096,-88.4353,26316
Elmira,NY,42.0938,-76.8097,26349
Elk River,MN,45.3314,-93.567,26367
Carolina Forest,SC,33.7651,-78.913,26373
Forest Grove,OR,45.5243,-123.1097,26406
Owatonna,MN,44.0912,-93.2312,26462
Venice,FL,27.1184,-82.4137,26467
Auburn,NY,42.9338,-76.5685,26475
Paramus,NJ,40.9455,-74.0712,26500
Rosemount,MN,44.7466,-93.0661,26509
Sanger,CA,36.699,-119.5575,26515
Jenks,OK,35.9981,-95.9736,26519
Tumwater,WA,46.9891,-122.9175,26519
Marysville,OH,40.2279,-83.3595,26540
Edwardsville,IL,38.7922,-89.9874,26543
Superior,WI,46.6941,-92.0823,26550
West Islip,NY,40.7041,-73.2954,26559
Horn Lake,MS,34.9512,-90.0501,26622
Wheeling,WV,40.0752,-80.6951,26670
Granite City,IL,38.7296,-90.1268,26670
Troy,OH,40.0437,-84.2186,26716
Palm River-Clair Mel,FL,27.9239,-82.3791,26719
Keystone,FL,28.1312,-82.5999,26723
Shoreview,MN,45.0842,-93.1358,26724
Batavia,IL,41.8479,-88.3109,26730
Lutz,FL,28.1396,-82.4467,26731
Cabot,AR,34.9766,-92.0274,26733
Ewa Gentry,HI,21.3344,-158.0262,26738
Vernon Hills,IL,42.234,-87.9608,26772
Camas,WA,45.6005,-122.4304,26779
South Portland,ME,43.631,-70.2895,26780
Kalispell,MT,48.2153,-114.3274,26830
Woodburn,OR,45.1472,-122.8603,26845
Benicia,CA,38.0725,-122.1526,26861
Palm Springs,FL,26.6348,-80.0969,26871
Plum,PA,40.5024,-79.7495,26873
Oak Forest,IL,41.6054,-87.7527,26888
Paducah,KY,37.0711,-88.644,26894
Garden City,MI,42.3244,-83.3412,26910
Leisure City,FL,25.4935,-80.4363,26917
Temple Terrace,FL,28.0436,-82.3773,26922
Brawley,CA,32.9783,-115.5287,26934
Chicago Heights,IL,41.51,-87.6345,26938
Mint Hill,NC,35.1783,-80.6528,26954
Waukee,IA,41.5985,-93.8869,26974
Fulshear,TX,29.693,-95.8804,26986
Sun City West,AZ,33.6695,-112.3573,27003
Wooster,OH,40.8172,-81.9336,27012
Lemoore,CA,36.2949,-119.7983,27023
Carrollton,GA,33.5818,-85.0838,27058
West Linn,OR,45.367,-122.6399,27065
Kahului,HI,20.8715,-156.4603,27068
Gladstone,MO,39.2134,-94.5592,27069
Lindenhurst,NY,40.6858,-73.371,27106
Mason City,IA,43.1487,-93.1997,27135
Celina,TX,33.3154,-96.7941,27141
Balch Springs,TX,32.7194,-96.6151,27181
Kent,OH,41.149,-81.361,27190
New London,CT,41.3502,-72.1022,27199
Wright,FL,30.4445,-86.6419,27233
Pooler,GA,32.1043,-81.2569,27235
Thomasville,NC,35.8813,-80.0807,27261
Union City,GA,33.5942,-84.5629,27300
Fremont,NE,41.4395,-96.4873,27321
Deer Park,NY,40.7623,-73.3218,27334
Asheboro,NC,35.7158,-79.8127,27353
Green,OH,40.9483,-81.4757,27381
Marion,IN,40.5497,-85.6604,27384
Neenah,WI,44.1669,-88.4767,27409
Clinton,MS,32.354,-90.3403,27418
Millville,NJ,39.3903,-75.0561,27432
Kernersville,NC,36.1065,-80.0842,27439
New Lenox,IL,41.5095,-87.9703,27456
Pearl,MS,32.273,-90.0918,27458
Athens,AL,34.7843,-86.9503,27474
Lemon Grove,CA,32.7331,-117.0344,27489
Marshalltown,IA,42.0343,-92.9068,27491
Mililani Town,HI,21.4465,-158.0147,27495
Belmont,CA,37.5154,-122.2953,27505
Wilmette,IL,42.0771,-87.7282,27550
Ilchester,MD,39.2187,-76.7683,27552
Silver Springs Shores,FL,29.1126,-82.0149,27556
Lochearn,MD,39.3461,-76.7307,27591
Williamsport,PA,41.2399,-77.037,27629
Drexel Heights,AZ,32.1453,-111.048,27636
West Melbourne,FL,28.0694,-80.6736,27643
Dodge City,KS,37.7611,-100.0182,27652
Mount Pleasant,WI,42.7129,-87.8876,27694
